	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
1	36	14	43	28	A2	6F	48	6C	68	78	67	50	5A	48	4E	66
2	69	1F	43	41	A2	6F	48	3A	37	7A	64	50	5A	48	4E	66	
3	69	1F	43	41	A2	6F	48	3A	37	7A	64	50	5A	48	4E	66	
4	87	14	42	78	A2	7B	48	3D	73	44	64	50	5A	48	4E	66
5	87	14	42	78	A2	7B	48	3D	73	44	64	50	5A	48	4E	66
6	79	14	43	55	97	6E	64	5A	6C	64	4F	69	4A	45	42	4F
7	69	14	43	41	A2	6F	62	57	6C	64	4F	69	7B	7D	39	50
8	69	14	43	41	A2	6F	62	57	6C	64	4F	69	7B	7D	39	50	
9	69	14	43	41	A2	6F	64	57	6C	64	4F	68	72	48	69	50	
10	69	14	43	41	A2	6F	64	57	6C	64	4F	68	72	48	69	50	
11	36	14	43	28	A2	6F	4B	6C	68	78	67	50	5A	48	4E	66	
12	69	1F	43	41	A2	6F	4B	3A	37	7A	64	50	5A	48	4E	66	
13	69	1F	43	41	A2	6F	4B	3A	37	7A	64	50	5A	48	4E	66	
14	87	14	42	78	A2	7B	4B	3D	73	44	64	50	5A	48	4E	66	
15	87	14	42	78	A2	7B	4B	3D	73	44	64	50	5A	48	4E	66	
16	79	14	43	55	97	6E	64	5A	6C	64	4F	69	4A	45	42	4F	
17	69	14	43	41	A2	6F	62	57	6C	64	4F	69	7B	7D	39	50	
18	69	14	43	41	A2	6F	62	57	6C	64	4F	69	7B	7D	39	50	
19	69	14	43	41	A2	6F	62	57	6C	64	4F	68	72	48	69	50	
20	69	14	43	41	A2	6F	62	57	6C	64	4F	68	72	48	69	50	
